station_code,station_name,state,zone
NRSP,Narasimhapura,OR,ECoR
NRT,Narasaraopet,AP,SCR
NRUR,Nareshwar Road,GJ,WR
NRV,Nariyar,BR,ECR
NRVR,Naraina Vihar,DL,NR
NRW,Narwana Junction,HR,NR
NRWI,Narwasi,RJ,NWR
NRX,Noadar Dhal,WB,ER
NRY,Nyoriya Husenpur,UP,NER
NRYP,Narayanapuram,AP,SWR
NRZB,Nowrozabad,MP,SECR
NS,Narasapur,AP,SCR
NSA,Nishangara,UP,NER
NSD,Nasirabad,RJ,NWR
NSF,Nasibpur,WB,ER
NSI,Nikursini,WB,SER
NSL,Nagarsol,MH,SCR
NSP,Nalla Sopara,MH,WR
NSS,Nawanshahr Doaba Junction,PB,NR
NSU,Nisui,UP,NR
NSVP,NPA Shivarampally Halt,AP,SCR
NSX,Narsipuram Halt,AP,ECoR
NTA,Netra,WB,ER
NTG,Nursratabad Kharkhar,UP,NR
NTM,Narthamalai,TN,SR
NTN,Nar Town,,
NTR,Nittur,KA,SWR
NTS,Nattrasankottai,TN,SR
NTSK,New Tinsukia Junction,AS,NFR
NTT,Nathapettai,TN,SR
NTU,Nigatpur,UP,NER
NTV,Nautanwa,UP,NER
NTW,Nanjangud Town,KA,SWR
NTWL,Netawal,,
NTZ,Nathwana,RJ,NWR
NU,Narsinghpur,MP,WCR
NUA,Nua,RJ,NWR
NUB,Nurabad,MP,NCR
NUD,Navagadh,GJ,WR
NUH,Naugarh,UP,NER
NUIH,Neuri Halt,BR,ECR
NUJ,Nujella,AP,SCR
NUPR,Nurpur Road,PB,NR
NUQ,Nagar Untari,JH,ECR
NUR,Narela,DL,NR
NVC,Nagalwancha,AP,SCR
NVF,Nagavangala,KA,SWR
NVG,Nawagaon,MP,CR
NVL,Neyveli,TN,SR
NVLN,Nawalgohan,MH,SCR
NVRD,Navade Road,MH,CR
NVS,Navsari,GJ,WR
NVT,Navipet,AP,SCR
NVU,Navalur,KA,SWR
NW,Nalwar,KA,SCR
NWA,Nagarwara,MP,SECR
NWB,Niwas Road,MP,WCR
NWC,Naya Nagar,BR,ECR
NWD,Nawadah,BR,ECR
NWH,Nawalgarh,RJ,NWR
NWMS,Noapara Mahisha,WB,ER
NWP,Naupada Junction,AP,ECoR
NWR,Niwar,MP,WCR
NWU,Navapur,GJ,WR
NXN,Nuagaon,OR,SER
NXR,Nagsar,UP,ECR
NYA,Narayangarh,WB,SER
NYG,Nayagarh,OR,
NYH,Nayandahalli,KA,SWR
NYI,Nellayi,KL,SR
NYK,Naya Kharadia,RJ,NWR
NYM,Neyamatpur,,ECR
NYN,Naini,UP,NCR
NYO,Nayagaon,BR,ECR
NYP,Nayadupeta,AP,SR
NYT,Nayatola,BR,NFR
NYY,Neyyattinkara,KL,SR
NZB,Nizamabad,AP,SCR
NZD,Nuzvid,AP,SCR
NZH,Nidaghatta,KA,
NZM,Delhi Hazrat Nizamuddin,DL,NR
NZP,Niyazipur Halt,,
NZR,Nazira,AS,NFR
NZT,Nazareth,TN,SR
OBM,Obalapuram,AP,SWR
OBR,Obra Dam,UP,ECR
OBVP,Obulavaripalli,AP,SCR
